Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
12.75,-1.0092914592293948e+307,-8.685713053316726e+306,-5.56624344243475e+306,-3.628931771247252e+306,-2.073324952797198e+306,-4.492252950104634e+305,-1.3332388130805398e+305,-1.333238813080288e+305,-1.7921399967337e+305,-2.3429037921679637e+305,-2.783514828346105e+305,-1.3883151928237604e+305,-1.608620710720479e+305,-1.22308437989973e+305
12.7578125,-1.3885269829789002e+305,-1.223082705603413e+305,-1.498464603243604e+305,-1.1673617466941025e+305,-8.917630359071849e+304,-8.569109639767853e+304,-8.913310839741654e+304,-8.019408981959558e+304,-7.194330611783807e+304,-7.466489612491989e+304,-6.916788954619576e+304,-6.641407056863974e+304,-6.366016788075611e+304,-6.090634890320009e+304
12.765625,-5.539871094937039e+304,-5.536648198017854e+304,-5.537715520980674e+304,-5.263396760799747e+304,-4.988014863108262e+304,-5.535555761443812e+304,-5.536623084534867e+304,-5.534471696159e+304,-5.259089798403398e+304,-5.810912545587944e+304,-5.537686221853071e+304,-5.535564132477073e+304,-7.181372054498768e+304,-5.261199331293374e+304
12.7734375,-3.3126086155907097e+304,-3.7203008981423033e+304,-3.8579918471156524e+304,-1.113356875249749e+305,-3.2353599627591523e+305,-9.46993278288515e+305,-2.0743683340369604e+306,-2.7793406347277477e+306,-3.8065530741250237e+306,-3.8072361608212276e+306,-3.982103686783382e+306,-3.8051761855646265e+306,-2.6023997398155393e+306,-2.513246205376145e+306
12.78125,-2.071244886528678e+306,-1.892223925552804e+306,-2.6241768930493095e+304,-1.2202725065367072e+305,-6.357377749735808e+304,-3.3099151950211344e+304,-4.0010528956757006e+304,-4.993372405888218e+304,-1.1135678287764835e+305,-1.3338817183729334e+305,-1.4993293439820967e+305,-4.041254976105455e+305,-7.75481751200962e+304,-8.926261024776963e+304
12.7890625,-6.644650881750269e+304,-6.369268983994164e+304,-6.920032779441251e+304,-6.093887086495031e+304,-6.369268983994164e+304,-7.195414677004501e+304,-8.296942267770441e+304,-1.001697307617727e+305,-7.463229045156225e+304,-7.738610942911573e+304,-6.362768777801425e+304,-4.1355355970702586e+304,-3.034541667689428e+304,-2.8968507188117514e+304
12.796875,-3.0340017277732786e+304,-3.1722326165031105e+304,-6.368159805161996e+304,-6.367092482263545e+304,-4.71480109624287e+304,-4.990182993677886e+304,-8.569080340768486e+304,-8.018316545385516e+304,-7.192170852375179e+304,-6.915725817109019e+304,-6.917856277582397e+304,-6.367092482327412e+304,-6.091710584635927e+304,-5.816328686880324e+304
12.8046875,-6.91785627726156e+304,-7.468620073157468e+304,-4.990182993998222e+304,-8.018303988259319e+304,-6.368143062968243e+304,-5.541997369894037e+304,-5.266615472138435e+304,-5.541997369765802e+304,-6.092761165084655e+304,-7.745052551233564e+304,-7.194288756107063e+304,-5.541997369958154e+304,-6.362768777545204e+304,-6.087386879981453e+304
12.8125,-5.812004982354086e+304,-5.812004982289968e+304,-5.536623084598483e+304,-5.261241186971116e+304,-4.985859289279631e+304,-4.985859289215514e+304,-5.263392575218748e+304,-5.263392575282866e+304,-5.53877447297435e+304,-5.53877447297435e+304,-5.53877447297435e+304,-5.53877447297435e+304,-5.263392575282866e+304,-4.988010677655498e+304
12.8203125,-4.988010677591381e+304,-4.988010677591381e+304,-4.988010677591381e+304,-4.988010677591381e+304,-4.712628779899896e+304,-4.437246882272528e+304,-4.437246882208411e+304,-4.98585928908778e+304,-4.432944105201209e+304,-4.432944105328943e+304,-4.2732307313362045e+304,-4.135539782522521e+304,-4.135539782490462e+304,-4.135539782490462e+304
