F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2291.2209000000003,2394.4806000000003,2108.1105000000002,2134.6407,2248.3044000000004,2400.4629,2367.6902999999998,1941.3863999999999,2262.3498000000004,2308.6476000000002,2006.1513,2027.9997,2253.2463000000002,1823.0409000000002
2290.4406000000004,2394.4806000000003,2107.8504,2134.3806000000004,2247.2639999999997,2401.7634000000003,2369.5110000000004,1940.346,2261.5695,2307.3471,2006.6715000000002,2026.9593000000002,2252.7261,1823.8211999999999
2289.6603,2394.7407,2108.6306999999997,2134.3806000000004,2247.5241,2401.7634000000003,2368.9908,1939.0455000000002,2262.0897,2307.087,2007.4518000000003,2027.9997,2254.2867,1824.3414
2289.6603,2394.2205000000004,2107.0701000000004,2137.5018,2248.0443,2401.2432,2368.4706,1940.8662,2262.3498000000004,2307.8673000000003,2005.6311,2027.4795000000001,2253.7664999999997,1822.0005
2290.7007,2393.1801,2107.0701000000004,2137.2417,2247.0039,2400.2028,2368.4706,1940.6061000000002,2262.3498000000004,2309.1677999999997,2005.371,2027.4795000000001,2252.9862,1822.5207
2291.481,2392.6599,2107.5903,2135.4210000000003,2247.0039,2400.2028,2368.7307,1939.5657,2262.3498000000004,2309.9481,2006.1513,2028.78,2253.7664999999997,1824.3414
2290.7007,2392.6599,2107.0701000000004,2138.022,2248.5645,2402.0235000000002,2369.5110000000004,1940.6061000000002,2262.0897,2308.6476000000002,2005.371,2027.9997,2253.7664999999997,1823.0409000000002
2290.9608,2392.92,2107.5903,2136.9816,2248.3044000000004,2401.2432,2367.6902999999998,1940.6061000000002,2262.3498000000004,2307.6072000000004,2007.1917,2027.7396,2253.5064,1823.301
2290.1805,2395.521,2106.0297,2133.8604,2248.0443,2400.723,2368.7307,1940.0859,2262.0897,2308.6476000000002,2007.1917,2028.5199000000002,2253.2463000000002,1822.7808
2288.3598,2396.0412,2106.2898000000005,2135.4210000000003,2249.0847000000003,2401.2432,2370.2913000000003,1941.1263000000001,2261.8296,2308.1274,2006.4114,2030.0805,2253.2463000000002,1822.0005
2290.1805,2393.4402000000005,2108.1105000000002,2135.9412,2249.0847000000003,2400.9831000000004,2368.7307,1941.3863999999999,2261.8296,2307.087,2006.9316,2029.0401000000002,2253.7664999999997,1823.5611000000001
2290.9608,2392.6599,2106.81,2135.9412,2249.3448000000003,2402.0235000000002,2368.7307,1939.3056,2261.8296,2308.1274,2005.1109000000001,2025.6588000000002,2253.2463000000002,1822.7808
